freq sweep straight wall:
  w=2.000  T=3.793e-04
  w=2.020  T=2.447e-04
  w=2.040  T=1.427e-04
  w=2.060  T=8.139e-05
  w=2.080  T=8.336e-05
  w=2.100  T=1.316e-04
  w=2.120  T=1.994e-04
  w=2.140  T=2.423e-04
  w=2.160  T=2.375e-04
  w=2.180  T=1.902e-04
  w=2.200  T=1.271e-04
  w=2.220  T=7.945e-05
  w=2.240  T=5.238e-05 <== GAP
  w=2.260  T=4.220e-05 <== GAP
  w=2.280  T=5.251e-05 <== GAP
  w=2.300  T=1.084e-04 <== GAP
  w=2.320  T=2.649e-04 <== GAP
  w=2.340  T=3.977e-04
  w=2.360  T=4.248e-04
  w=2.380  T=4.720e-04
  w=2.400  T=5.613e-04
  w=2.420  T=6.655e-04
