mesh 28919 nodes, 57200 tris, fiber frac 0.325
frequency sweep (transmission to far end of wall):
  w=2.000  T=3.265e-01
  w=2.020  T=1.920e-01
  w=2.040  T=1.087e-01
  w=2.060  T=8.250e-02
  w=2.080  T=1.021e-01
  w=2.100  T=1.784e-01
  w=2.120  T=2.342e-01
  w=2.140  T=2.081e-01
  w=2.160  T=2.003e-01
  w=2.180  T=1.736e-01
  w=2.200  T=2.070e-01
  w=2.220  T=2.185e-01
  w=2.240  T=1.175e-01
  w=2.260  T=7.112e-02 <==GAP
  w=2.280  T=5.916e-02 <==GAP
  w=2.300  T=3.872e-02 <==GAP
  w=2.320  T=2.365e-02 <==GAP
  w=2.340  T=2.199e-02
  w=2.360  T=3.026e-02
  w=2.380  T=5.445e-02
  w=2.400  T=7.678e-02
  w=2.420  T=5.634e-02
